Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
4436876.524074272,3085278.6874412326,3376310.7016534903,32.16879873393717,34.81366116708517,38.13736778125167
4436882.86761347,3085280.2997650476,3376315.863788753,32.16880871392564,34.81363680491587,46.07319577597082
4436875.16083321,3085279.169708924,3376308.2712946883,32.16878423359475,34.81367361654553,36.12903563864529
4436875.66447539,3085277.6070565423,3376310.283272315,32.16880189011499,34.81365696589449,36.795091934502125
4436878.557056937,3085278.5391810276,3376315.634687876,32.16882878284911,34.813647571140024,42.10504920780659
4436867.987224205,3085276.475023743,3376308.999383116,32.16882545559155,34.81369358165829,30.22891031485051
4435534.449762048,3085119.314305577,3376447.1853645155,32.17556859059147,34.82039880900151,-898.8470316939056
4435537.815098696,3085124.9871807,3376449.585463613,32.175558086195494,34.82042781761693,-892.4887223606929
4435544.450502347,3085129.804826715,3376453.0455500386,32.17554512572483,34.820429579749415,-883.7070389203727
4435535.900374286,3085126.0057354076,3376448.2444404983,32.17555260495675,34.820448279006825,-894.041033597663
4436890.583418615,3085280.9469265686,3376319.2490023132,32.168802366043685,34.8135957353897,53.550571635365486
4436888.267581816,3085280.312962148,3376312.144396305,32.168758999609864,34.81360423447876,47.852151706814766
4436880.761630982,3085277.7850068216,3376319.52864227,32.168851884347504,34.81362766238375,45.345525371842086
4436887.364398752,3085282.0662199897,3376320.0331542906,32.16881797285057,34.81362496259515,52.27184542454779
4436892.901702326,3085286.0326152607,3376316.764066001,32.168760318581946,34.813625971585786,56.29643547628075
4435548.567186719,3085131.1526818667,3376455.40488967,32.17554320894314,34.82041638631174,-878.9386798823252
4435541.554498835,3085129.27078452,3376452.060808361,32.175550491384186,34.82044246651865,-886.5018696319312
4435540.5630535735,3085132.892549956,3376448.557604436,32.175517724335165,34.820480000023075,-887.3058562278748
4436888.430741349,3085284.3688207557,3376316.734998326,32.16878228136,34.8136385511906,52.369702748954296
4436885.963542193,3085284.2530102036,3376322.251107508,32.168834431434995,34.813652476753354,53.53595884516835
