GPS time,SatPRN,Sat_x,Sat_y,Sat_z,Pr,cn0,DopplerShiftHz
3096.3407960820477,G02,14573206.71411265,-5239567.640830624,22040175.96184369,22812058.27763995,43.0,2656.9707127061647
3096.3370914550032,G03,23187580.558564212,-12122987.558775622,4011162.6919710715,24151306.26768114,42.0,2650.568864413179
3096.3468488120707,G08,24906736.30404856,4694270.572758321,8528081.895445963,21169467.93797826,47.8,-871.2826681241813
3112.341328621027,G10,-1329165.0720265834,17148086.34156501,20352420.163985148,22785964.099709965,39.0,-1868.8306841293443
3096.3449335930636,G21,15699708.620245434,1536361.2559223366,21913664.42634119,21745944.913827673,44.3,1831.487023471313
3096.343483341043,G27,23150795.05425613,13293206.07379138,-2593025.988618102,22137021.599012583,45.2,-2805.210730806791
3096.3376847150503,G28,5200268.047928143,25758890.151180234,-3885488.7660888904,23820393.16069658,35.5,2683.3000959333426
3096.3458099510754,G32,8094502.459394407,17964729.605067823,18113974.760810208,21259751.562319674,45.6,-1243.7297057049714
